epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12309.9,0.47661,0.27034,0.00432,0.6459,0.27146,0.2945,0.17327,1.95723,3.60549,0.02705,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,12692.1,0.46935,0.26326,0.00427,0.64286,0.27368,0.29593,0.1743,1.94369,3.61632,0.02684,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13074.3,0.46492,0.26857,0.0042,0.62642,0.26365,0.28354,0.16617,1.96784,3.70157,0.02732,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,401.342,0.45229,0.24871,0.00407,0.63187,0.26879,0.28819,0.16764,1.97578,3.63099,0.02746,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,414.231,0.44354,0.23659,0.00399,0.63391,0.26759,0.28738,0.16697,1.99199,3.64876,0.02776,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,793.512,0.44312,0.23601,0.00398,0.63838,0.26367,0.28302,0.1657,1.99692,3.70068,0.02787,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,1172.88,0.44003,0.23465,0.00395,0.64437,0.26694,0.28568,0.16775,1.98961,3.69895,0.02774,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,1552.32,0.43485,0.23129,0.0039,0.65233,0.27002,0.29014,0.1704,1.99021,3.66968,0.02773,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,1931.8,0.42808,0.22829,0.00384,0.65397,0.27127,0.29096,0.17037,1.99726,3.66807,0.02786,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,2312.52,0.29877,0.11833,0.00334,0.66035,0.26418,0.28411,0.16831,1.99189,3.77183,0.02782,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,2690.69,0.2935,0.1152,0.00328,0.66762,0.25534,0.27643,0.16525,1.98153,3.9004,0.02763,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,3068.62,0.28575,0.10727,0.00315,0.67641,0.24468,0.26603,0.16053,1.98041,4.04527,0.02764,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,3446.52,0.2792,0.10357,0.00306,0.67921,0.23314,0.25403,0.15395,1.9946,4.17682,0.02797,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,3824.32,0.27469,0.09854,0.00299,0.68266,0.22531,0.24578,0.14989,2.00267,4.27335,0.02818,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4202.17,0.26908,0.09701,0.00293,0.68944,0.21727,0.23748,0.14569,2.00507,4.37372,0.02832,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,4579.72,0.2631,0.09245,0.00283,0.69569,0.20894,0.22924,0.14156,2.00773,4.46437,0.02848,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,4957.35,0.2577,0.09043,0.00276,0.69731,0.20139,0.22203,0.13769,2.01154,4.54795,0.02865,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,5335.05,0.2532,0.08755,0.0027,0.70175,0.1946,0.21562,0.13436,2.01545,4.61267,0.0288,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,5712.91,0.24843,0.08402,0.00264,0.70582,0.18907,0.20986,0.13115,2.01855,4.67324,0.02895,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
